neighbourhood_PK,Neighbourhood,Shape__Area,Shape__Length
1,South Eglinton-Davisville,944309.032714844,4005.54988673295
2,North Toronto,402030.818359375,2543.94588412104
3,Dovercourt Village,1503002.17700195,4965.49644819322
4,Junction-Wallace Emerson,2222866.7331543,7435.19238437126
5,Yonge-Bay Corridor,1118724.5456543,4811.10766870277
6,Bay-Cloverhill,690548.715332031,3359.58320926838
7,Bendale-Glen Andrew,4913225.28295898,9230.79989765376
8,Downsview,8282833.37353516,14053.3016763336
9,Oakdale-Beverley Heights,6685141.25830078,12397.4903776028
10,Avondale,1031682.44189453,5253.84815377906
11,East Willowdale,3513794.26660156,7758.01613004612
12,Yonge-Doris,471717.027099609,4845.44808882912
13,Fenside-Parkwoods,3315516.42041016,10299.715289467
14,Parkwoods-O'Connor Hills,4146976.81201172,11283.2781025206
15,East L'Amoreaux,3694316.38647461,8619.11862856782
16,L'Amoreaux West,3460788.24389648,8739.66543079542
17,Malvern East,4832296.86474609,12117.7805678935
18,Malvern West,4029796.08544922,9154.55328825327
19,Morningside Heights,28954808.4042969,24951.3249377008
20,West Rouge,8582951.7434082,19556.4293993429
21,Woburn North,6299193.6628418,13078.7346420878
22,Golfdale-Cedarbrae-Woburn,6035001.79516602,13482.5565275689
23,Guildwood,3806075.71142578,9795.21470783135
24,Scarborough Village,3151549.07714844,7924.29719984002
25,Eglinton East,3223275.52856445,10015.4753541574
26,West Hill,9625559.96142578,14978.3491442572
27,Morningside,5740235.78442383,13214.7856963155
28,Highland Creek,5248155.98242188,9914.98844002922
29,Centennial Scarborough,5468418.83447266,12073.7931148408
30,Milliken,9478036.39282227,16781.6326037786
31,Agincourt North,7262015.77636719,12381.356330836
32,Agincourt South-Malvern West,7873085.43798828,15394.6874649613
33,Dorset Park,6012148.17016602,10566.9878062214
34,Ionview,1952896.36694336,6356.22332616128
35,Kennedy Park,3580843.35205078,7606.72163161012
36,Cliffcrest,7190836.36010742,19944.1073049258
37,Birchcliffe-Cliffside,6009067.38696289,14693.4888602702
38,Downtown Yonge East,808531.202880859,4251.56733939615
39,Church-Wellesley,556185.245361328,3151.47804394103
40,St Lawrence-East Bayfront-The Islands,11314215.3041992,19766.0747742551
41,Harbourfront-CityPlace,1138334.07421875,7255.36128654652
42,Wellington Place,979639.036376953,4214.2619768025
43,Fort York-Liberty Village,2339540.37084961,9924.96381932796
44,West Queen West,901748.542480469,4286.66847969292
45,Humber Bay Shores,1578118.50683594,16145.7930864194
46,Mimico-Queensway,5480612.03466797,13398.7011030995
47,Etobicoke City Centre,10134665.5534668,17420.268633481
48,Islington,6105215.07104492,13591.2857804698
49,Bendale South,2543590.73510742,7242.17363603241
50,Caledonia-Fairbank,1544557.65722656,4956.20458595366
51,Briar Hill-Belgravia,1827724.55981445,6289.0499925237
52,Oakwood Village,2219372.56640625,6334.9036099945
53,Humewood-Cedarvale,1871170.0637207,6036.12881602337
54,Lawrence Park North,2289920.91503906,6540.33799081589
55,Lawrence Park South,3242395.98486328,9777.80193527985
56,Forest Hill North,1571697.35375977,5716.05836857332
57,Forest Hill South,2479878.58349609,7188.77972337365
58,Yonge-Eglinton,1650361.81811523,5685.35557146289
59,Mount Pleasant East,3093372.08886719,11322.3798169615
60,Rosedale-Moore Park,4661570.71972656,9735.10648613359
61,Yonge-St.Clair,1161370.63354492,5873.15937293483
62,Casa Loma,1922411.7980957,5937.69079738128
63,Annex,2790299.21801758,7605.96627119131
64,Wychwood,1682041.59423828,5434.89670190745
65,Corso Italia-Davenport,1889355.69067383,6089.31137563601
66,Weston-Pelham Park,1455888.94921875,5546.76814489661
67,Junction Area,2631929.67919922,7789.87315287201
68,Oakridge,1878205.05322266,7809.47816470049
69,Clairlea-Birchmount,7397931.57397461,16486.0654452645
70,Wexford/Maryvale,10264126.3745117,14186.799529797
71,Tam O'Shanter-Sullivan,5421907.20019531,10749.9966236586
72,Steeles,4561098.04492188,8964.60086803805
73,Mount Dennis,2129361.63085938,6852.14104600924
74,Lambton Baby Point,1782160.22265625,8074.06270249685
75,Weston,2565620.89819336,10202.5084095516
76,Beechborough-Greenbrook,1833583.37817383,6414.63723799029
77,Rockcliffe-Smythe,5070942.53564453,11620.7453970318
78,Keelesdale-Eglinton West,1750632.40014648,5675.40834137485
79,Palmerston-Little Italy,1435255.54345703,4967.49937721841
80,University,1405204.4987793,4971.74289705384
81,Kensington-Chinatown,1534624.3059082,5024.35267570997
82,North St.James Town,423922.603271484,2574.40326107591
83,Moss Park,1396902.2878418,6369.58565334189
84,Regent Park,650277.03125,3258.90032155151
85,Cabbagetown-South St.James Town,1417918.51928711,5759.06262752587
86,South Riverdale,11030185.232666,42678.1504457333
87,Blake-Jones,941209.260253906,4042.83762584962
88,North Riverdale,1786063.19213867,5475.70847607407
89,Playter Estates-Danforth,887588.452148438,4501.78910920767
90,Danforth,1119675.31640625,6233.29023224189
91,Greenwood-Coxwell,1675165.80297852,6843.0068886632
92,Woodbine Corridor,1595664.3737793,5428.02138814825
93,The Beaches,3595720.48486328,11297.1740986166
94,East End-Danforth,2638981.39208984,7373.0721817403
95,Taylor-Massey,1062886.52294922,5941.40034404397
96,Woodbine-Lumsden,1196277.1640625,4871.17849073059
97,Danforth East York,2188610.31005859,7623.95239240969
98,Old East York,2349869.3762207,7485.02139969222
99,Runnymede-Bloor West Village,1593616.31176758,6747.78843752808
100,High Park North,1882260.83129883,6319.69544078773
101,High Park-Swansea,5357614.60986328,10600.0012077129
102,Roncesvalles,1504504.51928711,6163.74118560016
103,South Parkdale,2287026.29760742,10818.6013779085
104,Little Portugal,1216333.33007813,5440.80926362607
105,Dufferin Grove,1387929.25976563,5148.23705892718
106,Trinity-Bellwoods,1729614.94775391,5343.06048878188
107,Don Valley Village,4212455.24804688,8326.57889326257
108,Pleasant View,2967457.81640625,7944.79984789075
109,Flemingdon Park,2473284.11743164,8487.7664742086
110,Victoria Village,4755237.52075195,11802.19690199
111,Banbury-Don Mills,10040970.3603516,18186.1082922431
112,Bridle Path-Sunnybrook-York Mills,8839357.12207031,15670.6956658261
113,St.Andrew-Windfields,7345556.16967773,12863.4205505562
114,Bedford Park-Nortown,5518287.3034668,12817.1292903363
115,Lansing-Westgate,5346280.25976563,11112.2293942319
116,Willowdale West,2883426.34277344,7476.86611435969
117,Newtonbrook West,4695659.51635742,8634.15193044842
118,Westminster-Branson,3667829.23828125,11497.2927806625
119,Bathurst Manor,4760369.45043945,14571.4963147757
120,Clanton Park,4166282.87792969,10224.4351519818
121,Englemount-Lawrence,3478125.58959961,8311.87185600747
122,Yorkdale-Glen Park,6038309.47363281,10079.377511977
123,Brookhaven-Amesbury,3507312.7668457,8980.39928031823
124,Maple Leaf,2526495.24829102,6377.82447047491
125,Rustic,2096378.20776367,5889.05410619556
126,York University Heights,13246479.3210449,18511.6921722698
127,Glenfield-Jane Heights,5150697.5246582,11459.9417593974
128,Broadview North,1745977.7956543,7178.09952140759
129,Leaside-Bennington,4784981.41235352,14837.3974655056
130,Thorncliffe Park,3126357.20996094,7503.56591909032
131,O'Connor-Parkview,4876711.36645508,10926.9770729977
132,Henry Farm,2593567.26464844,8182.26332095287
133,Bayview Village,5159113.55322266,9504.16981183269
134,Newtonbrook East,4084668.73413086,8094.49089354603
135,Bayview Woods-Steeles,4088940.43432617,8253.11483919459
136,Hillcrest Village,5395573.67089844,9570.81675006214
137,Alderwood,4978387.91552734,9168.59613520858
138,Long Branch,2261913.66674805,7808.45161974756
139,New Toronto,3483680.29052734,11167.2271212586
140,Stonegate-Queensway,7945942.4597168,11852.9163248028
141,Kingsway South,2638166.81445313,8062.16138873272
142,Etobicoke West Mall,1796406.22192383,6475.59413914792
143,Markland Wood,2953929.625,7845.48598147479
144,Eringate-Centennial-West Deane,8645665.69702148,15361.9157581881
145,Princess-Rosethorn,5171364.56860352,11052.1232494944
146,Edenbridge-Humber Valley,5511639.08691406,11180.3434916878
147,Humber Heights-Westmount,2802718.31005859,9088.13335479588
148,Willowridge-Martingrove-Richview,5517456.69238281,12059.1831483176
149,Kingsview Village-The Westway,5063357.91357422,10449.2474354457
150,Elms-Old Rexdale,2931077.00854492,9356.74751418956
151,Rexdale-Kipling,2505653.47436523,7067.21347680557
152,Thistletown-Beaumond Heights,3339551.82373047,10828.6020136539
153,Mount Olive-Silverstone-Jamestown,4637601.69140625,12968.3564893043
154,West Humber-Clairville,30145338.8083496,27923.9623863216
155,Black Creek,3453854.96728516,8441.43282420329
156,Pelmo Park-Humberlea,4276214.27880859,13837.2521138853
157,Humbermede,4421686.40917969,12445.8752892806
158,Humber Summit,7966913.71899414,12622.3100909753
